Family,Genus,Species,Locality,Rel_date
Dracochelidea,Dracochela,deprehendor,Gilboa,Devonian
Chthonoidea,indet.,indet.,Bitterfeld,Paleogene
Chthoniidae,Chelignathus,kochii,Baltic,Paleogene
Chthoniidae,Chthonius,mengei,Baltic,Paleogene
Chthoniidae,Chthonius,pristinus,Baltic,Paleogene
Chthoniidae,Lechytia,tertiaria,Dominican,Neogene
Chthoniidae,Paraliochthonius,miomaya,Chiapas,Neogene
Chthoniidae,Pseudochthonius,squamosus,Dominican,Neogene
Chthoniidae,Tyrannchthonius,sp.,Madagascar,Quaternary
Chthoniidae,Tyrannchthonius,sp.,Chiapas,Neogene
Chthoniidae,Weygoldtiella,plausus,Burmese,Cretaceous
Lechytidae,indet.,indet.,N/A,N/A
Pseudotyrannochthoniidae,indet.,indet.,Bitterfeld,Paleogene
NA,indet.,indet.,N/A,N/A
Feaellidae,Feaella (Tetraeaella),groehni,Baltic,Paleogene
Feaellidae,Protofeaella,peetersae,Burmese,Cretaceous
Pseudogarypidae,indet.,indet.,Bitterfeld,Paleogene
Pseudogarypidae,Pseudogarypus,extensus,Baltic,Paleogene
Pseudogarypidae,Pseudogarypus,hemprichii,Baltic,Paleogene
Pseudogarypidae,Pseudogarypus,minor,Baltic/Rovno,Paleogene
Pseudogarypidae,Pseudogarypus,pangeae,Baltic,Paleogene
Pseudogarypidae,Pseudogarypus,synchrotron,Baltic,Paleogene
NA,indet.,indet.,N/A,N/A
Bochicidae,indet.,indet.,N/A,N/A
Gymnobisiidae,indet.,indet.,N/A,N/A
Hyidae,indet.,indet.,N/A,N/A
Ideoroncidae,indet.,indet.,N/A,N/A
Neobisiidae,indet.,indet.,Bitterfeld,Paleogene
Neobisiidae,Microcreagris,koellnerorum,Baltic,Paleogene
Neobisiidae,Neobisium (Neobisium),extinctum,Baltic,Paleogene
Neobisiidae,Neobisium,henderickxi,Baltic,Paleogene
Neobisiidae,Roncus,succineus,Baltic,Paleogene
Parahyidae,indet.,indet.,N/A,N/A
Syarinidae,indet.,indet.,N/A,N/A
Garypidae,NA,indet.,N/A,N/A
Geogarypidae,indet.,indet.,Bitterfeld,Paleogene
Geogarypidae,Geogarypus,gorskii,Baltic/Rovno,Paleogene
Geogarypidae,Geogarypus,macrodactylus,Baltic,Paleogene
Geogarypidae,Geogarypus,major,Baltic,Paleogene
Hesperolpiidae,indet.,indet.,N/A,N/A
Methidae,indet.,indet.,N/A,N/A
Olpiidae,indet.,indet.,N/A,N/A
Garypinidae,indet.,indet.,Bitterfeld,Paleogene
Garypinidae,Amblyolpium,burmiticum,Burmese,Cretaceous
Garypinidae,Garypinus,electri,Baltic,Paleogene
Larcidae,indet.,indet.,N/A,N/A
Cheiriidae,indet.,indet.,Bitterfeld,Paleogene
Cheiriidae,Cheridium,hartmanni,Baltic,Paleogene
Cheiriidae,Cyptocheiridium (Cyptocheiridium),antiquum,Dominican,Neogene
Cheiriidae,Electrobisium,acutum,Burmese,Cretaceous
Pseudochiridiidae,Pseudochiridium,lindae,Dominican,Neogene
Sternophoridae,Idiogaryops,pumilus,Dominican,Neogene
Atemnidae,indet. ,indet.,Dominican,Neogene
Atemnidae,indet. ,indet.,Bitterfeld,Paleogene
Atemnidae,Paratemnoides,nidificator,Colombian,Quaternary
Atemnidae,Paratemnoides (?),sp.,Chiapas,Neogene
Atemnidae,Progonatemnus,succineus,Baltic,Paleogene
Cheliferidae,indet. ,,Archingeay,Cretaceous
Cheliferidae,indet. ,indet.,Bitterfeld,Paleogene
Cheliferidae,Cheliferini gen.,sp. Indet.,Chiapas,Neogene
Cheliferidae,Dichela,berendtii,Baltic,Paleogene
Cheliferidae,Dichela,gracilis,Baltic,Paleogene
Cheliferidae,Dichela,granulatus,Baltic,Paleogene
Cheliferidae,Dichela,serratidentatus,Baltic,Paleogene
Electrochelifer,Electrochelifer,bachofeni,Baltic,Paleogene
Electrochelifer,Electrochelifer,balticus,Baltic,Paleogene
Electrochelifer,Electrochelifer,groehni,Baltic,Paleogene
Electrochelifer,Electrochelifer,mengei,Baltic,Paleogene
Electrochelifer,Electrochelifer,rapulitarsatus,Baltic,Paleogene
Electrochelifer,Heurtaultia,rossiorum,Archingeay,Cretaceous
Electrochelifer,Pycnochelifer,kleemanni,Baltic,Paleogene
Electrochelifer,Trachychelifer,liaoningense,Chinese,Paleogene
Chernetidae,indet.,indet.,Canadian,Cretaceous
Chernetidae,indet.,indet.,Chiapas,Neogene
Chernetidae,Byrosochernes,maatiatus,Chiapas,Neogene
Chernetidae,Lustrochernes,sp. 1-2,Chiapas,Neogene
Chernetidae,Oligochernes,bachofeni,Baltic,Paleogene
Chernetidae,Oligochernes,wigandi,Baltic,Paleogene
Chernetidae,Pachychernes,effosus,Dominican,Neogene
Chernetidae,Pachychernes,aff. Subrobustus,Colombian,Quaternary
Withiidae,indet.,indet.,Bitterfeld,Paleogene
Withiidae,Beierowithius,sieboldtii,Baltic,Paleogene
Withiidae,Withius,eucarpus,East Africa,Quaternary
NOMUM DUBIUM,Chelifer,ehrenbergii,Baltic,Paleogene
NOMUM NUDUM,Chelifer,fossilis,Solnhofen,Jurassic
