TypeLocality,Era,Period,Epoch,Age,Abs_age
"Hukawng (as Hukong) Valley, Kachin, Myanmar",Mesozoic,Cretaceous,Late Cretaceous,Cenomanian,99
"Archingeay-Les Nouillers, Charente-Maritime, Poitou-Charentes, France",Mesozoic,Cretaceous,Early Cretaceous,Albian,100
"Hukawng (as Hukong) Valley, Kachin, Myanmar",Mesozoic,Cretaceous,Late Cretaceous,Cenomanian,99
"Hukawng (as Hukong) Valley, Kachin, Myanmar",Mesozoic,Cretaceous,Late Cretaceous,Cenomanian,99
"Archingeay-Les Nouillers, Charente-Maritime, Poitou-Charentes, France",Mesozoic,Cretaceous,Early Cretaceous,Albian,100
"Grossman's Pit, Sayreville, New Jersey, USA",Mesozoic,Cretaceous,Late Cretaceous,Turonian,90
"Grassy Lake, Southern Alberta, Canada",Mesozoic,Cretaceous,Late Cretaceous,Campanian,72
"Ain Dara, Caza Aley, Lebanese amber",Mesozoic,Cretaceous,Early Cretaceous,Barremian,125
"Capilduy, Alava, Spain",Mesozoic,Cretaceous,Late Cretaceous,Cenomanian,100
"Hukawng (as Hukong) Valley, Kachin, Myanmar",Mesozoic,Cretaceous,Late Cretaceous,Cenomanian,99
