TypeLocality,Amber,Lat_dec,Lon_dec
"Hukawng (as Hukong) Valley, Kachin, Myanmar",Burmese,26.50,96.58
"Archingeay-Les Nouillers, Charente-Maritime, Poitou-Charentes, France",Archingeay,45.93,-0.66
"Hukawng (as Hukong) Valley, Kachin, Myanmar",Burmese,26.50,96.58
"Hukawng (as Hukong) Valley, Kachin, Myanmar",Burmese,26.50,96.58
"Archingeay-Les Nouillers, Charente-Maritime, Poitou-Charentes, France",Archingeay,45.93,-0.66
"Grossman's Pit, Sayreville, New Jersey, USA",Raritan,40.45,-74.35
"Grassy Lake, Southern Alberta, Canada",Canadian,49.82,-111.68
"Ain Dara, Caza Aley, Lebanese amber",Lebanese,33.13,-35.58
"Capilduy, Alava, Spain",Alava,46.23,-2.68
"Hukawng (as Hukong) Valley, Kachin, Myanmar",Burmese,26.50,96.58
