Family,Genus,Species,Author,Year
Garypinidae,Amblyolpium,burmiticum ,Cockerell,1920
Withiidae,Beierowithius,sieboldtii ,Menge,1854
Chernetidae,Byrsochernes,maatiatus ,Riquelme,2014
Cheiridiidae,Cheiridium,hartmanni ,Menge,1854
Pseudoscorpiones,Chelifer,ehrenbergii,Koch & Berendt,1854
Tridenchthoniidae,Chelignathus,kochii,Menge,1854
Chthoniidae,Chthonius,mengei,Beier,1937
Chthoniidae,Chthonius,pristinus,Schawaller,1978
Cheiridiidae,Cryptocheiridium,antiquum,Schawaller,1981
Cheliferidae, Dichela,berendtii,Menge,1854
Cheliferidae,Dichela,gracilis ,Beier,1937
Cheliferidae,Dichela,granulatus ,Beier,1937
Cheliferidae,Dichela,serratidentatus ,Beier,1937
Dracochelidae,Dracochela,deprehendor,Schawaller,1991
Neobisiidae,Electrobisium,acutum,Cockerell,1917
Cheliferidae,Electrochelifer,bachofeni,Beier,1947
Cheliferidae,Electrochelifer,balticus,Beier,1955
Cheliferidae,Electrochelifer,mengei,Beier,1937
Cheliferidae,Electrochelifer,rapulitarsatus,Beier,1947
Garypinidae,Garypinus,electri,Beier,1937
Geogarypidae, Geogarypus,gorskii,Henderickx,2005
Geogarypidae,Geogarypus,macrodactylus,Beier,1937
Geogarypidae,Geogarypus,major,Beier,1937
Cheliferidae,Heurtaultia,rossiorum,Judson,2009
Sternophoridae,Idiogaryops,pumilus ,Hoff,1963
Lechytidae,Lechytia,tertiaria,Schawaller,1980
Neobisiidae,Microcreagris,koellneri,Schawaller,1978
Neobisiidae,Neobisium,exstinctum,Beier,1955
Neobisiidae,Neobisium,henderickxi,Judson,2003
Chernetidae,Oligochernes,bachofeni,Beier,1937
Chernetidae,Oligochernes,wigandi ,Menge,1854
Chernetidae,Pachychernes,effossus,Schawaller,1980
Chernetidae,Pachychernes,subrobustus ,Balzan,1892
Chthoniidae,Paraliochthonius,miomaya,Judson,2016
Atemnidae,Paratemnoides,nidificator ,Balzan,1888
Atemnidae,Progonatemnus,succineus,Beier,1955
Feaellidae,Protofeaella,peetersae,Henderickx,2016
Pseudochiridiidae,Pseudochiridium,lindae,Judson,2007
Chthoniidae,Pseudochthonius,squamosus,Schawaller,1980
Pseudogarypidae,Pseudogarypus,extensus,Beier,1937
Pseudogarypidae,Pseudogarypus,hemprichii ,Koch & Berendt,1854
Pseudogarypidae,Pseudogarypus,minor,Beier,1947
Pseudogarypidae,Pseudogarypus,pangaea,Henderickx,2006
Pseudogarypidae,Pseudogarypus,synchrotron,Henderickx,2012
Cheliferidae,Pycnochelifer,kleemanni ,Koch & Berendt,1854
Neobisiidae,Roncus,succineus,Beier,1955
unclassified species,Weygoldtiella,plausus,Harvey et al.,2018
Withiidae,Withius,eucarpus ,Dalman,1826
