index,Family,Genus,Species,"Author, Year"
1,Garypinidae,Amblyolpium,burmiticum ,Cockerell 1920 
2,Withiidae,Beierowithius,sieboldtii ,Menge 1854 
3,Chernetidae,Byrsochernes,maatiatus ,Riquelme et al. 2014 
4,Cheiridiidae,Cheiridium,hartmanni ,Menge 1854 
5,Pseudoscorpiones,Chelifer,ehrenbergii, Koch and Berendt 1854 
6,Tridenchthoniidae,Chelignathus,kochii, Menge 1854 
7,Chthoniidae,Chthonius (Chthonius),mengei, Beier 1937 
8,Chthoniidae,Chthonius (Chthonius),pristinus, Schawaller 1978 
9,Cheiridiidae,Cryptocheiridium,antiquum, Schawaller 1981 
10,Cheliferidae, Dichela,berendtii, Menge 1854 
11,Cheliferidae,Dichela,gracilis ,Beier 1937 
12,Cheliferidae,Dichela,granulatus ,Beier 1937 
13,Cheliferidae,Dichela,serratidentatus ,Beier 1937 
14,Dracochelidae,Dracochela,deprehendor, Schawaller et al. 1991 
15,Neobisiidae,Electrobisium,acutum, Cockerell 1917 
16,Cheliferidae,Electrochelifer,bachofeni, Beier 1947 
17,Cheliferidae,Electrochelifer,balticus, Beier 1955 
18,Cheliferidae,Electrochelifer,mengei, Beier 1937 
19,Cheliferidae,Electrochelifer,rapulitarsatus, Beier 1947 
20,Garypinidae,Garypinus,electri, Beier 1937 
21,Geogarypidae, Geogarypus,gorskii, Henderickx 2005 
22,Geogarypidae,Geogarypus,macrodactylus, Beier 1937 
23,Geogarypidae,Geogarypus,major, Beier 1937 
24,Cheliferidae,Heurtaultia,rossiorum, Judson 2009 
25,Sternophoridae,Idiogaryops,pumilus ,Hoff 1963 
26,Lechytidae,Lechytia,tertiaria, Schawaller 1980 
27,Neobisiidae,Microcreagris,koellneri, Schawaller 1978 
28,Neobisiidae,Neobisium,exstinctum, Beier 1955 
29,Neobisiidae,Neobisium,henderickxi, Judson 2003 
30,Chernetidae,Oligochernes,bachofeni, Beier 1937 
31,Chernetidae,Oligochernes,wigandi ,Menge 1854 
32,Chernetidae,Pachychernes,effossus, Schawaller 1980 
33,Chernetidae,Pachychernes,subrobustus ,Balzan 1892 
34,Chthoniidae,Paraliochthonius,miomaya, Judson 2016 
35,Atemnidae,Paratemnoides,nidificator ,Balzan 1888 
36,Atemnidae,Progonatemnus,succineus, Beier 1955 
37,Feaellidae,Protofeaella,peetersae, Henderickx 2016 
38,Pseudochiridiidae,Pseudochiridium,lindae, Judson 2007 
39,Chthoniidae,Pseudochthonius,squamosus, Schawaller 1980 
40,Pseudogarypidae,Pseudogarypus,extensus, Beier 1937 
41,Pseudogarypidae,Pseudogarypus,hemprichii ,Koch and Berendt 1854 
42,Pseudogarypidae,Pseudogarypus,minor, Beier 1947 
43,Pseudogarypidae,Pseudogarypus,pangaea, Henderickx 2006 
44,Pseudogarypidae,Pseudogarypus,synchrotron, Henderickx 2012 
45,Cheliferidae,Pycnochelifer,kleemanni ,Koch and Berendt 1854 
46,Neobisiidae,Roncus,succineus, Beier 1955 
47,unclassified species,Weygoldtiella,plausus, Harvey et al. 2018 
48,Withiidae,Withius,eucarpus ,Dalman 1826 
