TypeLocality,Order,Family,Range,Genus,Species,Locality,Rel_date
,Paleosphyronida,Dracochelidea,Devonian ‒ Recent,Dracochela,deprehendor,Gilboa,Devonian
,Heterospyhronida,Chthonoidea,Cretaceous ‒ Recent,indet.,indet.,Bitterfeld,Paleogene
,Heterospyhronida,Chthoniidae,Cretaceous ‒ Recent,Chelignathus,kochii,Baltic,Paleogene
,Heterospyhronida,Chthoniidae,Cretaceous ‒ Recent,Chthonius (Chthonius),mengei,Baltic,Paleogene
,Heterospyhronida,Chthoniidae,Cretaceous ‒ Recent,Chthonius (Chthonius),pristinus,Baltic,Paleogene
,Heterospyhronida,Chthoniidae,Cretaceous ‒ Recent,Lechytia,tertiaria,Dominican,Neogene
,Heterospyhronida,Chthoniidae,Cretaceous ‒ Recent,Paraliochthonius,miomaya,Chiapas,Neogene
,Heterospyhronida,Chthoniidae,Cretaceous ‒ Recent,Pseudochthonius,squamosus,Dominican,Neogene
,Heterospyhronida,Chthoniidae,Cretaceous ‒ Recent,Tyrannchthonius,sp.,Madagascar,Quaternary
,Heterospyhronida,Chthoniidae,Cretaceous ‒ Recent,Tyrannchthonius,sp.,Chiapas,Neogene
,Heterospyhronida,Chthoniidae,Cretaceous ‒ Recent,Weygoldtiella,plausus,Burmese,Cretaceous
,Heterospyhronida,Lechytidae,Neogene ‒ Recent,indet.,indet.,N/A,N/A
,Heterospyhronida,Pseudotyrannochthoniidae,Paleogene ‒ Recent,indet.,indet.,Bitterfeld,Paleogene
,Homosyphronida,NA,Cretaceous ‒ Recent,indet.,indet.,N/A,N/A
,Atoposyphronida,Feaellidae,Cretaceous ‒ Recent,Feaella (Tetraeaella),groehni,Baltic,Paleogene
,Atoposyphronida,Feaellidae,Cretaceous ‒ Recent,Protofeaella,peetersae,Burmese,Cretaceous
,Atoposyphronida,Pseudogarypidae,Paleogene ‒ Recent,indet.,indet.,Bitterfeld,Paleogene
,Atoposyphronida,Pseudogarypidae,Paleogene ‒ Recent,Pseudogarypus,extensus,Baltic,Paleogene
,Atoposyphronida,Pseudogarypidae,Paleogene ‒ Recent,Pseudogarypus,hemprichii,Baltic,Paleogene
,Atoposyphronida,Pseudogarypidae,Paleogene ‒ Recent,Pseudogarypus,minor,Baltic/Rovno,Paleogene
,Atoposyphronida,Pseudogarypidae,Paleogene ‒ Recent,Pseudogarypus,pangeae,Baltic,Paleogene
,Atoposyphronida,Pseudogarypidae,Paleogene ‒ Recent,Pseudogarypus,synchrotron,Baltic,Paleogene
,Iochierata,NA,Cretaceous ‒ Recent,indet.,indet.,N/A,N/A
,Hemictenata,Bochicidae,Recent,indet.,indet.,N/A,N/A
,Hemictenata,Gymnobisiidae,Recent,indet.,indet.,N/A,N/A
,Hemictenata,Hyidae,Recent,indet.,indet.,N/A,N/A
,Hemictenata,Ideoroncidae,Recent,indet.,indet.,N/A,N/A
,Hemictenata,Neobisiidae,Cretaceous ‒ Recent,indet.,indet.,Bitterfeld,Paleogene
,Hemictenata,Neobisiidae,Cretaceous ‒ Recent,Microcreagris,koellnerorum,Baltic,Paleogene
,Hemictenata,Neobisiidae,Cretaceous ‒ Recent,Neobisium (Neobisium),extinctum,Baltic,Paleogene
,Hemictenata,Neobisiidae,Cretaceous ‒ Recent,Neobisium,henderickxi,Baltic,Paleogene
,Hemictenata,Neobisiidae,Cretaceous ‒ Recent,Roncus,succineus,Baltic,Paleogene
,Hemictenata,Parahyidae,Recent,indet.,indet.,N/A,N/A
,Hemictenata,Syarinidae,Recent,indet.,indet.,N/A,N/A
,Panctenata,Garypidae,Recent,NA,indet.,N/A,N/A
,Panctenata,Geogarypidae,Paleogene ‒ Recent,indet.,indet.,Bitterfeld,Paleogene
