Order,SuperFamily,Family,Range,Genus,Species,Author,Type Locality,Type Age range
Paleosphyronida,Dracocheloidea,Dracochelidea,Devonian ‒ Recent,Dracochela,deprehendor,"Schwaller, Shear & Bonamo, 1991",Gilboa,Devonian
Heterospyhronida,Chtonoidea,Chthonoidea,Cretaceous ‒ Recent,indet.,indet.,Ahrens et al. (2019),Bitterfeld,Paleogene
Heterospyhronida,Chtonoidea,Chthoniidae,Cretaceous ‒ Recent,Chelignathus,kochii,Menge in Koch & Berendt 1854,Baltic,Paleogene
Heterospyhronida,Chtonoidea,Chthoniidae,Cretaceous ‒ Recent,Chthonius (Chthonius),mengei,"Beier, 1937",Baltic,Paleogene
Heterospyhronida,Chtonoidea,Chthoniidae,Cretaceous ‒ Recent,Chthonius (Chthonius),pristinus,"Schwaller, 1978",Baltic,Paleogene
Heterospyhronida,Chtonoidea,Chthoniidae,Cretaceous ‒ Recent,Lechytia,tertiaria,"Schwaller, 1978",Dominican,Neogene
Heterospyhronida,Chtonoidea,Chthoniidae,Cretaceous ‒ Recent,Paraliochthonius,miomaya,"Judson, 2016",Chiapas,Neogene
Heterospyhronida,Chtonoidea,Chthoniidae,Cretaceous ‒ Recent,Pseudochthonius,squamosus,"Schwaller, 1980",Dominican,Neogene
Heterospyhronida,Chtonoidea,Chthoniidae,Cretaceous ‒ Recent,Tyrannchthonius,sp.,in Judson (2010),Madagascar,Quaternary
Heterospyhronida,Chtonoidea,Chthoniidae,Cretaceous ‒ Recent,Tyrannchthonius,sp.,in Judson (2016),Chiapas,Neogene
Heterospyhronida,Chtonoidea,Chthoniidae,Cretaceous ‒ Recent,Weygoldtiella,plausus,Harvey et al. 2018,Burmese,Cretaceous
Heterospyhronida,Chtonoidea,Lechytidae,Neogene ‒ Recent,indet.,indet.,N/A,N/A,N/A
Heterospyhronida,Chtonoidea,Pseudotyrannochthoniidae,Paleogene ‒ Recent,indet.,indet.,Ahrens et al. (2019),Bitterfeld,Paleogene
Homosyphronida,NA,NA,Cretaceous ‒ Recent,indet.,indet.,N/A,N/A,N/A
Atoposyphronida,Feaelloidea,Feaellidae,Cretaceous ‒ Recent,Feaella (Tetraeaella),groehni,"Henderickx in Henderickx & Boone, 2014",Baltic,Paleogene
Atoposyphronida,Feaelloidea,Feaellidae,Cretaceous ‒ Recent,Protofeaella,peetersae,"Henderickx in Henderickx & Boone, 2016",Burmese,Cretaceous
Atoposyphronida,Feaelloidea,Pseudogarypidae,Paleogene ‒ Recent,indet.,indet.,Ahrens et al. (2019),Bitterfeld,Paleogene
Atoposyphronida,Feaelloidea,Pseudogarypidae,Paleogene ‒ Recent,Pseudogarypus,extensus,"Beier, 1937",Baltic,Paleogene
Atoposyphronida,Feaelloidea,Pseudogarypidae,Paleogene ‒ Recent,Pseudogarypus,hemprichii,"(C.L. Koch & Berendt, 1854)",Baltic,Paleogene
Atoposyphronida,Feaelloidea,Pseudogarypidae,Paleogene ‒ Recent,Pseudogarypus,minor,"Beier, 1937",Baltic/Rovno,Paleogene
Atoposyphronida,Feaelloidea,Pseudogarypidae,Paleogene ‒ Recent,Pseudogarypus,pangeae,"Henderickx in Henderickx et al., 2006",Baltic,Paleogene
