author1first,author1last,author2first,author2last,otherauthors,otherauthors2,otherauthors3,otherauthors4,pubyr,reftitle,pubtitle,pubvol,pubno,firstpage,lastpage
Gerald,Legg,Francis,Farr-Cox,Richard Jones,,,,2016,Illustrated key to the British False Scorpions (Pseudoscorpions),,,,,
Danilo,Harms,Jason A,Dunlop,,,,,2017,The fossil history of pseudoscorpions (Arachnida: Pseudoscorpiones),,,,,
Mark S,Harvey,,,A.D. Austin,N.W. Heather,,,1988,The Australian Entomological Society,,,,,
Mark S,Harvey,,,,,,,2013,Order Pseudoscorpiones*,,,,,
Mark S,Harvey,Julia G,Cosgrove,Danilo Harms,Paul A Selden,Chungkun Shih,Chun-Chieh Wang,2017,The oldest chthonioid pseudoscorpion Arachnida: Pseudoscorpiones: Chthonioidea: Chthoniidae: A new genus and species from mid-Cretaceous Burmese amber,,,,,
P.E.,King,,,,,,,Unknown,Pseudoscorpions,,,,,
Brittney A.,Oleniacz,,,,,,,2020,Report on Pseudoscorpions in Cretaceous New Jersey Amber,,,,,
Paul A,Selden,Dong,Ren,,,,,2017,A review of Burmese amber arachnids,,,,,
Xavier,Delclòs,Antonio,Arillo,Enrique Peñalver,Eduardo Barrón,Carmen Soriano,Rafael López Del Valle,2006,Fossiliferous amber deposits from the Cretaceous (Albian) of Spain,Vincent M Ortuño,,,,
Mark S,Harvey,,,,,,,1996,The biogeography of Gondwanan pseudoscorpions (Arachnida),,,,,
Mark L.I.,Judson,,,,,,,2009,"Cheliferoid pseudoscorpions (Arachnida, Chelonethi) from the Lower Cretaceous of France",,,,,
Mark L.I.,Judson,,,,,,,2000,"Electrobisium acutum Cockerell, a cheiridiid pseudoscorpion from Burmese amber, with remarks on the validity of the Cheiridioidea (Arachnida, Chelonethi)",,,,,
Joseph C,Chamberlin,,,,,,,1949,"NEW AND LITTLE-KNOWN FALSE SCORPIONS FROM VARIOUS PARTS OF THE WORLD (ARACHNIDA, CHELONETHIDA), WITH NOTES ON STRUCTURAL ABNORMALITIES IN TWO SPECIES",,,,,
Vincent,Perrichot,,,,,,,2004,Early Cretaceous amber from south-western France: insight into the Mesozoic litter fauna,,,,,
